"decimalLongitude","decimalLatitude","side","code"
-64.6159667969,17.7885894775,1,"OBIS439"
-64.5678024292,17.7612991333,1,"OBIS440"
-38.978611,-17.751944,1,"OBIS441"
-66.9437637329,17.9038505554,1,"OBIS442"
-64.6680831909,18.3323707581,1,"OBIS443"
-67.0655670166,17.9019699097,1,"OBIS444"
-64.6170272827,17.8005008698,1,"OBIS445"
-64.5887985229,17.769159317,1,"OBIS446"
-67.0689163208,17.9586906433,1,"OBIS447"
-67.1284103394,17.9167308807,1,"OBIS448"
-64.6411972046,17.7852802277,1,"OBIS449"
-64.6151428223,17.7899894714,1,"OBIS451"
-64.6550369263,17.7775993347,1,"OBIS452"
-64.5958862305,17.7994995117,1,"OBIS453"
-67.100692749,17.9293498993,1,"OBIS454"
-64.616317749,17.7889003754,1,"OBIS455"
-67.0707778931,17.9412498474,1,"OBIS456"
-64.6453323364,17.7786998749,1,"OBIS457"
-67.0037384033,17.8871307373,1,"OBIS458"
-64.7430801392,18.317440033,1,"OBIS459"
-64.5693435669,17.7596797943,1,"OBIS460"
-38.600833,-17.715278,1,"OBIS461"
-64.6819992065,18.3444309235,1,"OBIS462"
-64.627243042,17.7975006104,1,"OBIS463"
-64.6681137085,17.774969101,1,"OBIS464"
-64.6458435059,17.7649707794,1,"OBIS465"
-64.568862915,17.7665100098,1,"OBIS466"
-67.0141372681,17.9225196838,1,"OBIS467"
-64.663192749,17.7765808105,1,"OBIS468"
-67.015953064,17.8963108063,1,"OBIS469"
-66.9955291748,17.8900699615,1,"OBIS470"
-64.6356887817,17.7942295074,1,"OBIS471"
-64.6447601318,17.7872695923,1,"OBIS472"
-64.6385269165,17.7873001099,1,"OBIS473"
-67.0724868774,17.9411792755,1,"OBIS474"
-64.5832366943,17.7738990784,1,"OBIS475"
-64.6212768555,17.7908706665,1,"OBIS476"
-64.5881576538,17.7849597931,1,"OBIS477"
-64.6086730957,17.7983207703,1,"OBIS478"
-64.6349029541,17.7988090515,1,"OBIS479"
-67.0324935913,17.8914394379,1,"OBIS480"
-80.3014984131,25.1187496185,1,"OBIS481"
-66.936706543,17.9058208466,1,"OBIS482"
-64.6123809814,17.7668495178,1,"OBIS483"
-64.5914535522,17.7956790924,1,"OBIS484"
-64.5781021118,17.7737102509,1,"OBIS485"
-64.6478500366,17.7149295807,1,"OBIS486"
-64.6494598389,17.7788200378,1,"OBIS487"
-77.6933288574,24.5958309174,1,"OBIS488"
-66.955039978,17.9258403778,1,"OBIS489"
-64.6178512573,17.7640991211,1,"OBIS490"
-64.593536377,17.7981204987,1,"OBIS491"
-77.6706771851,24.3431491852,1,"OBIS492"
-63.0600013733,17.9956665039,1,"OBIS493"
-66.2863769531,17.9316902161,1,"OBIS495"
-64.6380462646,17.7946090698,1,"OBIS498"
-64.6138687134,17.7889499664,1,"OBIS499"
-64.6308822632,17.8039493561,1,"OBIS500"
-62.9776649475,17.4616661072,1,"OBIS501"
-64.6108016968,17.789390564,1,"OBIS502"
-66.9120101929,17.9214096069,1,"OBIS503"
-67.019241333,17.9024391174,1,"OBIS504"
-64.6109085083,17.7863693237,1,"OBIS505"
-80.0892562866,26.1570205688,1,"OBIS506"
-67.0244369507,17.8936805725,1,"OBIS507"
-67.0565414429,17.9393596649,1,"OBIS508"
-67.0373687744,17.8908805847,1,"OBIS509"
-66.9288406372,17.9048690796,1,"OBIS510"
-67.0732116699,17.925069809,1,"OBIS511"
-39.091389,-16.895833,1,"OBIS512"
-64.6197662354,17.7898406982,1,"OBIS513"
-66.9854888916,17.9084205627,1,"OBIS514"
-67.0751037598,17.9682693481,1,"OBIS515"
