"species","decimalLongitude","decimalLatitude","countryCode","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName","occurrenceStatus"
"Montastraea cavernosa",-97.282111,21.549056,"MX",1,"1893242489","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.987928,20.763339,"MX",1,"1893242493","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-97.276972,21.544694,"MX",1,"1893242498","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-97.275194,21.540389,"MX",1,"1893242499","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-97.275194,21.540389,"MX",1,"1893242502","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-97.281833,21.548583,"MX",1,"1893242506","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-97.275194,21.540389,"MX",1,"1893242509","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.986222,20.760722,"MX",1,"1893242512","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-97.275333,21.540556,"MX",1,"1893242521","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.987972,20.763417,"MX",1,"1893242525","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
"Montastraea cavernosa",-96.986222,20.760722,"MX",1,"1893242526","Montastraeidae","SPECIES",NA,2013,"HUMAN_OBSERVATION","FCBA-UV","Esponjas, corales escleractinios, equinodermos y peces de arrecifes coralinos del norte y sur de Veracruz","PRESENT"
