"decimalLongitude","decimalLatitude","Montastraea_cavernosa"
-64.782847,32.312733,1
-64.919008,32.357136,1
-64.919008,32.357136,1
-64.919008,32.357136,1
-82.210139,9.330742,1
-82.260189,9.34095,1
-82.218344,9.322147,1
-82.133333,9.25,1
-82.263514,9.346797,1
-77.418106,18.4745,1
-77.414589,18.467469,1
-77.456906,18.482986,1
-77.410331,18.473339,1
-95.999667,19.090849,1
-95.996422,19.088924,1
-96.001714,19.087982,1
-95.931244,19.108021,1
-96.071637,19.20243,1
-95.996597,19.088596,1
-96.090515,19.173,1
-95.935639,19.111643,1
-96.094022,19.181606,1
-96.073769,19.204956,1
-95.999283,19.091189,1
-96.068127,19.209063,1
-96.072815,19.205157,1
-96.092905,19.180802,1
-96.073339,19.205093,1
-96.071306,19.202343,1
-96.095613,19.178119,1
-96.062037,19.203089,1
-96.090377,19.179742,1
-95.948128,19.108916,1
-95.939552,19.117016,1
-96.088401,19.174303,1
-96.068164,19.208586,1
-96.089202,19.177954,1
-95.942108,19.099894,1
-95.994643,19.086073,1
-59.645928,13.221042,1
-59.641544,13.191969,1
-59.650611,13.280511,1
-59.612103,13.076158,1
-82.42215,23.12829,1
-82.42215,23.12829,1
-93.815028,27.893083,1
-93.599278,27.9075,1
-93.81425,27.875361,1
-93.81425,27.875361,1
-93.81425,27.875361,1
-93.81425,27.875361,1
-93.81425,27.875361,1
-93.81425,27.875361,1
-93.815028,27.876417,1
-93.815028,27.876417,1
-93.81425,27.875361,1
-93.81425,27.875361,1
-93.815028,27.876417,1
-93.815028,27.876417,1
-93.815028,27.876417,1
-93.815028,27.876417,1
-93.81425,27.875361,1
-93.81425,27.875361,1
-93.815028,27.876417,1
-93.815028,27.876417,1
-93.815028,27.876417,1
-93.816667,27.874306,1
-93.816667,27.874306,1
-93.815028,27.876417,1
-93.816667,27.874306,1
-93.816667,27.874306,1
-93.598778,27.911083,1
-93.599278,27.9075,1
-93.816667,27.874306,1
-93.598778,27.911083,1
-93.816667,27.874306,1
-93.599278,27.9075,1
-93.598778,27.911083,1
-93.816667,27.874306,1
-93.599278,27.9075,1
-93.598778,27.911083,1
-93.816667,27.874306,1
-93.599278,27.9075,1
-93.598778,27.911083,1
-93.599278,27.9075,1
-93.598778,27.911083,1
-93.598778,27.911083,1
-93.816667,27.874306,1
-93.598778,27.911083,1
-93.599278,27.9075,1
-93.599278,27.9075,1
-93.599278,27.9075,1
-93.598778,27.911083,1
-93.599278,27.9075,1
-93.598778,27.911083,1
-93.816667,27.874306,1
-93.599278,27.9075,1
-64.714833,32.366142,1
-64.714833,32.366142,1
-59.645917,13.221056,1
-59.612111,13.076167,1
-77.410333,18.473333,1
-64.754361,32.380028,1
-64.754361,32.380028,1
-59.612111,13.076167,1
-64.714833,32.366142,1
-77.410333,18.473333,1
-59.612111,13.076167,1
-64.822694,32.470806,1
-64.714833,32.366142,1
-59.612111,13.076167,1
-64.714833,32.366142,1
-64.714833,32.366142,1
-77.418106,18.4745,1
-77.410333,18.473333,1
-64.919,32.357139,1
-59.612111,13.076167,1
-77.456917,18.483,1
-64.754361,32.380028,1
-59.645917,13.221056,1
-77.410333,18.473333,1
-64.754361,32.380028,1
-64.919,32.357139,1
-77.410333,18.473333,1
-59.612111,13.076167,1
-59.645917,13.221056,1
-64.919,32.357139,1
-59.645917,13.221056,1
-77.410333,18.473333,1
-64.919,32.357139,1
-59.612111,13.076167,1
-64.919,32.357139,1
-64.754361,32.380028,1
-59.645917,13.221056,1
-77.410333,18.473333,1
-59.612111,13.076167,1
-64.754361,32.380028,1
-77.456917,18.483,1
-64.822694,32.470806,1
-59.645917,13.221056,1
-77.410333,18.473333,1
-64.754361,32.380028,1
-64.754361,32.380028,1
-77.410333,18.473333,1
-64.822694,32.470806,1
-82.210139,9.33075,1
-64.782861,32.312722,1
-82.218344,9.322139,1
-77.414583,18.467469,1
-77.414583,18.467469,1
-77.456917,18.483,1
-82.210139,9.33075,1
-82.218344,9.322139,1
