Samples;decimalLongitude;decimalLatitude;Mussismilia_hispida
Ilha das Cabras/04_IlhadasCabras_Juan_Raso_0403_GoPro1_Video1/;-45.393889;-23.830333;0
Ilha das Cabras/05_IlhadasCabras_Juan_Raso_0403_GoPro1_Video2/;-45.393889;-23.830333;1
Ilha das Cabras/06_IlhadasCabras_Juan_Raso_0403_GoPro1_Video3/;-45.393889;-23.830333;0
Ilha das Cabras/07_IlhadasCabras_Juan_Raso_0403_GoPro2_Video1/;-45.393889;-23.830333;0
Ilha das Cabras/08_IlhadasCabras_Juan_Raso_0403_GoPro2_Video2/;-45.393889;-23.830333;0
Ilha das Cabras/09_IlhadasCabras_Juan_Raso_0403_GoPro2_Video3/;-45.393889;-23.830333;0
Ilha das Cabras/1_IlhadasCabras_Juan_Fundo_0403_GoPro1_Video1/;-45.393889;-23.830333;0
Ilha das Cabras/10_IlhadasCabras_Juan_Raso_0403_GoPro2_Video4/;-45.393889;-23.830333;0
Ilha das Cabras/10_IlhadasCabras_Lu_0403_Fundo_GoProLu_Video2/;-45.393889;-23.830333;0
Ilha das Cabras/11_IlhadasCabras_Juan_Raso_0403_GoPro2_Video5/;-45.393889;-23.830333;0
Ilha das Cabras/11_IlhadasCabras_Lu_0403_Fundo_GoProLu_Video3/;-45.393889;-23.830333;0
Ilha das Cabras/12_IlhadasCabras_Lu_0403_Fundo_GoProLu_Video4/;-45.393889;-23.830333;0
Ilha das Cabras/12_IlhadasCabras_Lu_0403_Raso_GoProLu_Video4/;-45.393889;-23.830333;0
Ilha das Cabras/13_IlhadasCabras_Lu_0403_Fundo_GoProRe_Video1/;-45.393889;-23.830333;0
Ilha das Cabras/14_IlhadasCabras_Lu_0403_Fundo_GoProRe_Video2/;-45.393889;-23.830333;0
Ilha das Cabras/15_IlhadasCabras_Lu_0403_Fundo_GoProRe_Video3/;-45.393889;-23.830333;0
Ilha das Cabras/2_IlhadasCabras_Juan_Fundo_0403_GoPro1_Video2/;-45.393889;-23.830333;0
Ilha das Cabras/3_IlhadasCabras_Juan_Fundo_0403_GoPro1_Video3/;-45.393889;-23.830333;0
Ilha das Cabras/4_IlhadasCabras_Juan_Fundo_0403_GoPro1_Video4/;-45.393889;-23.830333;0
Ilha das Cabras/5_IlhadasCabras_Juan_Fundo_0403_GoPro2_Video1/;-45.393889;-23.830333;0
Ilha das Cabras/6_IlhadasCabras_Juan_Fundo_0403_GoPro2_Video2/;-45.393889;-23.830333;0
Ilha das Cabras/7_IlhadasCabras_Juan_Fundo_0403_GoPro2_Video3/;-45.393889;-23.830333;0
Ilha das Cabras/8_IlhadasCabras_Juan_Fundo_0403_GoPro2_Video4/;-45.393889;-23.830333;0
Ilha das Cabras/9_IlhadasCabras_Lu_0403_Fundo_GoProLu_Video1/;-45.393889;-23.830333;0
Portinho Sul_Alcatrazes/01_Alcatrazes_Juan_0503_GoPro2_Video1/;-45.702491;-24.105182;1
Portinho Sul_Alcatrazes/01_Alcatrazes_Juan_Fundo_0503_GoPro1_Video1/;-45.702491;-24.105182;0
Portinho Sul_Alcatrazes/02_Alcatrazes_Juan_0503_GoPro2_Video2/;-45.702491;-24.105182;1
Portinho Sul_Alcatrazes/02_Alcatrazes_Juan_Fundo_0503_GoPro1_Video2/;-45.702491;-24.105182;0
Portinho Sul_Alcatrazes/03_Alcatrazes_Juan_0503_GoPro2_Video3/;-45.702491;-24.105182;1
Portinho Sul_Alcatrazes/03_Alcatrazes_Juan_Fundo_0503_GoPro1_Video3/;-45.702491;-24.105182;0
Portinho Sul_Alcatrazes/04_Alcatrazes_Juan_0503_GoPro2_Video4/;-45.702491;-24.105182;1
Portinho Sul_Alcatrazes/04_Alcatrazes_Juan_Fundo_0503_GoPro1_Video4/;-45.702491;-24.105182;0
