"decimalLongitude","decimalLatitude","Siderastrea"
-66.24744,10.6524,1
-66.29939,10.64185,1
-66.10263,10.59246,1
-66.08839,10.53449,1
-61.786944,12.136667,1
-62.869478,17.347669,1
-61.789167,12.201111,1
-61.317778,13.2525,1
-61.5975,15.490833,1
-61.367,15.235,1
-74.127632,11.328933,1
-74.127632,11.328933,1
-74.127632,11.328933,1
-74.127632,11.328933,1
-74.127632,11.328933,1
-68.24769,10.81982,1
-64.36745,10.39569,1
-64.36745,10.39569,1
-68.236661,10.83328,1
-68.236661,10.83328,1
-68.24769,10.81982,1
-64.39507,10.38036,1
-68.24769,10.81982,1
-64.34775,10.3891,1
-68.24769,10.81982,1
-68.236661,10.83328,1
-64.34775,10.3891,1
-64.34775,10.3891,1
-68.236661,10.83328,1
-64.34775,10.3891,1
-68.24769,10.81982,1
-68.24769,10.81982,1
-68.24769,10.81982,1
-68.236661,10.83328,1
-68.24769,10.81982,1
-64.34775,10.3891,1
-68.24769,10.81982,1
-64.39507,10.38036,1
-60.93,10.84,1
-61.868611,17.406111,1
-60.479094,11.297222,1
-61.868611,17.406111,1
-61.763636,12.041164,1
-61.424167,15.2925,1
-61.5975,15.490833,1
-61.469444,15.368889,1
-62.869478,17.347669,1
-95.996597,19.088596,1
-96.064806,19.202338,1
-96.092798,19.172838,1
-95.933162,19.107458,1
-96.001714,19.087982,1
-96.068345,19.200508,1
-96.095762,19.178807,1
-96.090515,19.173,1
-95.943325,19.113389,1
-96.092905,19.180802,1
-96.069177,19.202905,1
-95.999545,19.085669,1
-96.095613,19.178119,1
-96.09508,19.178706,1
-94.283333,28.166667,1
-80.096291,26.10158,1
-80.096291,26.10158,1
-80.089256,26.157021,1
-80.2575,25.168051,1
-80.301498,25.11875,1
-80.223297,25.199167,1
-80.413597,25.013283,1
-80.301498,25.11875,1
-82.969398,12.29546,1
-81.887413,24.475683,1
-82.969398,12.29546,1
-82.969398,12.29546,1
-82.969398,12.29546,1
-82.969398,12.29546,1
-83.034698,12.18857,1
-82.969398,12.29153,1
-82.969398,12.29546,1
-82.969398,12.29546,1
-82.969398,12.29546,1
-82.969398,12.29153,1
-82.969398,12.29546,1
-82.969398,12.29546,1
-83.034698,12.18857,1
-83.033501,12.03012,1
-82.987801,12.30912,1
-76.79742,17.898854,1
-65.53302,18.34215,1
-87.683333,18.25,1
-87.683333,18.25,1
-87.683333,18.25,1
-87.683333,18.25,1
-87.683333,18.25,1
-87.683333,18.25,1
-87.683333,18.25,1
-87.683333,18.25,1
-87.683333,18.25,1
-87.683333,18.25,1
-76.387021,18.173418,1
-75.723389,9.420944,1
-76.173218,9.396283,1
-75.683731,9.74175,1
-75.651916,9.764033,1
-77.362801,8.655817,1
-76.185867,9.379617,1
-75.849419,9.698972,1
-75.829613,9.696278,1
-75.829613,9.696278,1
-75.816055,9.743944,1
-75.777031,9.767861,1
-75.699997,9.706284,1
-78.109665,20.584999,1
-78.200836,20.568832,1
-78.182831,20.6035,1
