"decimalLongitude","decimalLatitude","Montastraea_cavernosa"
-79.974319458,19.6937999725,"1"
-80.0898208618,26.1514701843,"1"
-64.6325836182,17.8019504547,"1"
-64.3207702637,18.7493495941,"1"
-62.9776649475,17.4616661072,"1"
-72.2242660522,21.489282608,"1"
-77.3212661743,18.4701328278,"1"
-80.126663208,23.1013889313,"1"
-64.6334533691,17.8069992065,"1"
-64.3207702637,18.7493495941,"1"
-82.7953567505,24.7262897491,"1"
-87.6080474854,17.2218494415,"1"
-64.7147827148,18.3074893951,"1"
-67.0173492432,17.9635105133,"1"
-76.9831695557,26.6033325195,"1"
-62.9850006104,17.4643325806,"1"
-87.7055587769,18.7083339691,"1"
-87.3065795898,20.3964805603,"1"
-87.5927200317,17.1718673706,"1"
-64.6106262207,17.8055496216,"1"
-80.1024932861,26.012550354,"1"
-77.8790969849,24.8775005341,"1"
-63.232334137,17.4878330231,"1"
-87.6175003052,18.9133338928,"1"
-87.8018798828,16.9100837708,"1"
-79.9578323364,19.7141170502,"1"
