species,longitude,latitude
moca,-82.4583333333333,23.125
moca,-80.2083333333333,23.125
moca,-80.125,23.125
moca,-79.7916666666667,22.9583333333333
moca,-75.9583333333333,22.9583333333333
moca,-79.7083333333333,22.875
moca,-79.625,22.875
moca,-79.375,22.7083333333333
moca,-78.7083333333333,22.625
moca,-78.4583333333333,22.5416666666667
moca,-78.375,22.5416666666667
moca,-75.7916666666667,22.5416666666667
moca,-78.0416666666667,22.4583333333333
moca,-77.625,22.2083333333333
moca,-81.5416666666667,22.125
moca,-81.4583333333333,22.125
moca,-81.5416666666667,22.0416666666667
moca,-77.625,22.0416666666667
moca,-81.4583333333333,21.9583333333333
moca,-77.5416666666667,21.9583333333333
moca,-81.4583333333333,21.875
moca,-81.375,21.875
moca,-81.2916666666667,21.875
moca,-81.2083333333333,21.875
moca,-72.125,21.875
moca,-84.5416666666667,21.7916666666667
moca,-81.2083333333333,21.7916666666667
moca,-72.2083333333333,21.7916666666667
moca,-81.125,21.7083333333333
moca,-79.9583333333333,21.7083333333333
moca,-83.2083333333333,21.625
moca,-81.9583333333333,21.625
moca,-79.9583333333333,21.625
moca,-72.4583333333333,21.625
moca,-82.4583333333333,21.5416666666667
moca,-82.375,21.5416666666667
moca,-82.2916666666667,21.5416666666667
moca,-81.9583333333333,21.5416666666667
moca,-81.7083333333333,21.5416666666667
moca,-81.625,21.5416666666667
moca,-71.4583333333333,21.5416666666667
moca,-71.125,21.5416666666667
moca,-97.2083333333333,21.4583333333333
moca,-82.7916666666667,21.4583333333333
moca,-82.7083333333333,21.4583333333333
moca,-79.625,21.4583333333333
moca,-72.2083333333333,21.4583333333333
moca,-71.5416666666667,21.4583333333333
moca,-71.125,21.4583333333333
moca,-72.125,21.375
moca,-71.625,21.375
moca,-71.2083333333333,21.375
moca,-79.625,21.2916666666667
moca,-71.2083333333333,21.2916666666667
moca,-79.5416666666667,21.2083333333333
moca,-79.2916666666667,21.125
moca,-79.4583333333333,21.0416666666667
moca,-79.375,21.0416666666667
moca,-70.7916666666667,21.0416666666667
moca,-79.2083333333333,20.9583333333333
moca,-70.7916666666667,20.9583333333333
moca,-79.125,20.875
moca,-79.0416666666667,20.875
moca,-96.9583333333333,20.7916666666667
moca,-86.875,20.7916666666667
moca,-78.9583333333333,20.7916666666667
moca,-78.875,20.7916666666667
moca,-78.7916666666667,20.7083333333333
moca,-78.7083333333333,20.625
moca,-78.625,20.625
moca,-78.4583333333333,20.625
moca,-87.0416666666667,20.4583333333333
moca,-87.0416666666667,20.2916666666667
moca,-87.4583333333333,20.125
moca,-87.4583333333333,19.9583333333333
moca,-87.4583333333333,19.875
moca,-87.4583333333333,19.7916666666667
moca,-79.7083333333333,19.7916666666667
moca,-80.125,19.7083333333333
moca,-80.0416666666667,19.7083333333333
moca,-79.9583333333333,19.7083333333333
moca,-79.875,19.7083333333333
moca,-79.7916666666667,19.7083333333333
moca,-79.7083333333333,19.7083333333333
moca,-80.125,19.625
moca,-81.375,19.375
moca,-81.2916666666667,19.375
moca,-81.2083333333333,19.375
moca,-81.125,19.375
moca,-81.0416666666667,19.375
moca,-81.375,19.2916666666667
moca,-81.2083333333333,19.2916666666667
moca,-81.125,19.2916666666667
moca,-95.9583333333333,19.125
moca,-87.625,18.875
moca,-87.2916666666667,18.7916666666667
moca,-83.9583333333333,18.7916666666667
moca,-64.375,18.7916666666667
moca,-87.7083333333333,18.7083333333333
moca,-87.625,18.7083333333333
moca,-64.2916666666667,18.7083333333333
moca,-87.2083333333333,18.625
moca,-64.2083333333333,18.625
moca,-94.7916666666667,18.5416666666667
moca,-87.4583333333333,18.5416666666667
moca,-77.9583333333333,18.5416666666667
moca,-77.875,18.5416666666667
moca,-77.7916666666667,18.5416666666667
moca,-77.7083333333333,18.5416666666667
moca,-77.625,18.5416666666667
moca,-64.375,18.5416666666667
moca,-64.2083333333333,18.5416666666667
moca,-87.7083333333333,18.4583333333333
moca,-87.4583333333333,18.4583333333333
moca,-78.2916666666667,18.4583333333333
moca,-65.4583333333333,18.4583333333333
moca,-64.5416666666667,18.4583333333333
moca,-87.4583333333333,18.375
moca,-87.375,18.375
moca,-78.375,18.375
moca,-78.2916666666667,18.375
moca,-75.0416666666667,18.375
moca,-65.5416666666667,18.375
moca,-65.2916666666667,18.375
moca,-64.9583333333333,18.375
